序号,代码,简称,事件类型,具体事项,交易日
11,code.300397,天和防务,对外担保,"近日,天和海防与兴业银行签订了《流动资金借款合同》(以下简称“《2025年借款合同》”),天和海防向兴业银行借款人民币1,000万元,用于偿还《2024年借款合同》项下借款,公司和公司控股股东、实际控制人贺增林先生及其配偶签署了《担保人知悉函》,承诺按照《最高额保证合同》的约定,对《2025年借款合同》继续承担担保责任。天和海防其他自然人股东向亮、陈建峰签署了《反担保人知悉函》,承诺按照《反担保保证合同(自然人反担保)》的约定,按照其对天和海防的出资比例为公司在《2025年借款合同》及《最高额保证合同》下承担的担保责任提供反担保。",2025-06-16
12,code.300444,双杰电气,股份质押,"公司股东赵志宏将持有的本公司股份4054.05万股质押给信达证券股份有限公司,质押起始日2025/06/12至质押解除日2027/06/12并于2025年06月12日办理质押登记手续。",2025-06-16
13,code.300475,香农芯创,对外担保,"近日,公司收到广东华兴银行股份有限公司广州分行(以下简称“华兴银行”)的书面通知,因前期公司子公司联合创泰向其申请的1000万美元授信已提前结清,故同意提前终止公司、黄泽伟先生及彭红女士为联合创泰提供的最高本金额1000万美元的连带责任担保。前次担保事项详见公司于2024年12月23日在巨潮资讯网披露的《关于为子公司提供担保及接受关联方提供担保暨关联交易的进展公告》(公告编号:2024-135)。",2025-06-16
14,code.300475,香农芯创,对外担保,"近日,公司收到公司、黄泽伟先生及彭红女士分别与中信银行股份有限公司广州分行(以下简称“中信银行”)签署完毕的《最高额保证合同》(上述由公司与中信银行签署的《最高额保证合同》以下简称“《保证合同二》”,黄泽伟先生及彭红女士与中信银行签署的《最高额保证合同》以下统称“《保证合同三》”)。根据《保证合同二》、《保证合同三》,公司、黄泽伟先生及彭红女士同意为联合创泰向中信银行申请的最高5亿元借款提供最高本金额为人民币4亿元的连带责任担保,为创泰电子向中信银行申请的最高1000万元借款提供最高本金额为人民币1000万元的连带责任担保,为新联芯向中信银行申请的最高1000万元借款提供最高本金额为人民币1000万元的连带责任担保。",2025-06-16
15,code.300475,香农芯创,对外担保,"近日,公司收到公司和黄泽伟先生分别与兴业银行股份有限公司深圳分行(以下简称“兴业银行”)签署的《最高额保证合同》(上述由不同主体签署的《最高额保证合同》以下统称“《保证合同一》”)。根据《保证合同一》,公司和黄泽伟先生同意为联合创泰向兴业银行申请的人民币1亿元授信提供最高本金额为人民币1亿元的连带责任担保。",2025-06-16
16,code.300475,香农芯创,对外担保,"同时,公司控股子公司无锡海普芯创科技有限公司(以下简称“海普芯创”)、与中信银行签署了《最高额保证合同》(以下简称“《保证合同四》”)。根据《保证合同三》、《保证合同四》,海普芯创、黄泽伟先生及彭红女士同意为海普芯创全资子公司无锡海普存储科技有限公司(以下简称“无锡海普”)向中信银行申请的最高1000万元借款提供最高本金额为人民币1000万元的连带责任担保。近日,公司收到公司、黄泽伟先生及彭红女士分别与恒生银行有限公司(以下简称“恒生银行”)签署相关保证合同(上述由不同主体签署的保证合同以下统称“《保证合同五》”)。根据《保证合同五》,公司、黄泽伟先生及彭红女士同意为联合创泰向恒生银行申请的新增最高额不超过4500万美元保理融资提供最高本金额为4500万美元的连带责任担保。",2025-06-16
17,code.300535,达威股份,资产重组,"四川达威科技股份有限公司控股股东、实际控制人严建林、栗工夫妇于2024年12月27日与深圳世纪致远私募证券基金管理有限公司(代表致远龙图1号私募证券投资基金)签署了《四川达威科技股份有限公司股份转让协议》,严建林、栗工夫妇拟通过协议转让方式向致远资本转让持有的合计6,288,000股公司无限售流通股股份,系公司首次公开发行前持有股份,占公司目前总股本的6.00%;交易完成后,深圳世纪致远私募证券基金管理有限公司(代表致远龙图1号私募证券投资基金)成为持有达威股份5%以上股份的大股东。",2025-06-16
18,code.300568,星源材质,对外担保,"公司全资子公司常州星源新能源材料有限公司(以下简称“常州星源”)因经营建设需要,向交银金融租赁有限责任公司申请融资租赁业务。公司为上述融资租赁业务承担不超过人民币30,000万元的连带责任保证担保,并于近日与交银金融租赁有限责任公司签署了《保证合同》。",2025-06-16
19,code.300783,三只松鼠,资产重组,"2024年10月28日,三只松鼠股份有限公司(以下简称“公司”或“三只松鼠”)第三届董事会第十七次会议审议通过《关于签订<投资意向协议>的议案》,公司全资子公司安徽一件事创业投资有限公司拟以不超过人民币2亿元收购湖南爱零食科技有限公司(以下简称“爱零食”)的控制权或相关业务及资产;拟以不超过人民币0.6亿元收购未来已来(天津)科技发展有限责任公司(以下简称“爱折扣”)的控制权或相关业务及资产;拟以不超过人民币1亿元收购安徽致养食品有限公司(以下简称“致养食品”)的控制权或相关业务及资产。",2025-06-16
20,code.300926,博俊科技,资产重组,"为加快公司汽车零部件轻量化,模块化发展,扩大公司在长三角地区的生产与供货能力,促进产能分布的区域优化,以更好地配套客户需求,整合优质资源,扩大公司的影响力,提升公司的综合竞争力。公司拟与金华经济技术开发区管理委员会签署《汽车轻量化零部件生产基地项目投资协议》,计划在金华经济技术开发区建设汽车轻量化零部件生产基地项目,项目总投资额拟为10亿元。为确保项目的投资建设及运营管理,公司拟设立全资子公司金华博俊汽车零部件有限公司实施该项目的投资,建设和运营。用于本次投资项目建设用地拟为新能源及高端装备产业园新荣路以南,金星南街以西工业用地约165亩(具体以规划红线为准)。",2025-06-16
21,code.301015,百洋医药,对外担保,"为满足日常经营资金需求,黄海制药与上海农村商业银行股份有限公司黄浦支行(以下简称“上海农商银行”)签订了《流动资金借款合同》。为支持子公司的业务发展,百洋制药与上海农商银行签订了《保证合同》,为上述《流动资金借款合同》项下债务提供连带责任保证担保,担保主债权本金金额为1,000万元。本次担保事项在前述担保额度范围内,无需另行召开董事会及股东大会审议。",2025-06-16
22,code.301075,多瑞医药,股份质押,"公司股东西藏嘉康时代科技发展有限公司将持有的本公司股份143万股质押给浙江银通典当有限责任公司,质押起始日2025/06/09至质权人解除质押登记之日并于2025年06月09日办理质押登记手续。",2025-06-16
23,code.301109,军信股份,对外担保,"2025年6月16日,湖南军信环保股份有限公司(以下简称“公司”)与招商银行股份有限公司长沙分行(以下简称“债权人”或“融资方”)签订了《保证合同》(编号:731XY250612T00027201),同意公司为全资孙公司军信环保(吉尔吉斯)投资有限公司(以下简称“吉尔吉斯军信”或“债务人”)于2025年6月16日在招商银行股份有限公司长沙分行、兴业银行股份有限公司长沙分行签订的《贷款协议》(编号:731XY250612T000272),就各债务人及时并充分地履行各债务人在融资文件下的义务(包括清偿被担保债务)向各融资方承担连带保证责任,担保期限为2025年6月16日至2038年6月17日。",2025-06-16
24,code.301305,朗坤科技,对外担保,"近日,公司与中国银行股份有限公司广州开发区分行(以下简称“中国银行”或“债权人”)签署编号为GBZ477560120250011的《最高额保证合同》。",2025-06-16
25,code.688097,博众精工,资产重组,"博众精工科技股份有限公司(以下简称“公司”或“上市公司”、“博众精工”)拟现金收购黄立志等交易对方持有的上海沃典工业自动化有限公司(以下简称“上海沃典”或“标的公司”)70%股权,交易作价42,000万元。本次交易完成后,上市公司持有上海沃典70%股权,上海沃典纳入公司合并范围。",2025-06-16
26,code.688234,天岳先进,对外担保,"为满足上海天岳经营发展需要,近日公司与中国工商银行股份有限公司上海自贸试验区新片区分行(以下简称“工行自贸区分行”)签订了《保证合同》,为上海天岳向工行自贸区分行申请固定资产借款事项提供连带责任保证担保,本次公司为上海天岳提供担保的金额合计为人民币100,000.00万元。",2025-06-16
1,code.000034,神州数码,对外担保,"公司近期就中国民生银行股份有限公司北京分行与子公司合肥神州数码有限公司的授信业务签署了《最高额保证合同》,担保金额人民币1亿元,提供连带责任保证担保,保证期间为债务履行期限届满之日起三年。",2025-06-17
2,code.000516,国际医学,股份质押,"公司股东陕西世纪新元商业管理有限公司将持有的本公司股份6000万股质押给深圳市招商平安资产管理有限责任公司,质押起始日2025/06/13至质押到期日2027/07/12并于2025年06月13日办理质押登记手续。",2025-06-17
3,code.000552,甘肃能化,资产重组,"1.经公司第十届董事会第四十二次会议、2025年第一次临时股东大会审议,通过《关于投资建设兰州新区2×1000MW火电项目的议案》,公司投资建设兰州新区2×1000MW火电项目,项目规划新建2×1000MW高效超超临界燃煤空冷发电机组,一机一塔,同步建设脱硫、脱硝设施,配套建设750kV配电装置、输煤铁路专用线、灰场、分布式屋顶光伏等,设计年发电量90亿度,年耗煤量446万吨,项目静态投资796,141万元,动态投资828,417万元。项目建设资金通过银行、其他金融机构贷款及招商引资、引入战略投资者等方式解决。2.公司前期组建了项目专班负责项目承接等前期工作,近日,兰州新区经济发展局(统计局)将项目建设主体核准变更为甘肃能化股份有限公司,因项目前期手续办理和建设需要,拟新设子公司负责实施该项目建设和运营管理工作。",2025-06-17
4,code.000652,泰达股份,对外担保,"公司的控股子公司天津泰达环保有限公司(以下简称“泰达环保”)以其签署的《天津市生活垃圾处理特许经营协议》项下应收垃圾处理费债权向添金国际商业保理有限公司(简称“添金保理”)申请融资3,000万元,期限1年,公司提供连带责任保证。",2025-06-17
5,code.000652,泰达股份,对外担保,"根据经营发展需要,天津泰达股份有限公司(以下简称“公司”)的控股子公司天津泰达能源集团有限公司(以下简称“泰达能源”)向廊坊银行股份有限公司天津分行(以下简称“廊坊银行”)申请融资12,000万元,期限6个月,该融资为三笔业务,业务均为银行承兑汇票,每笔票面金额均为8,000万元,泰达能源以不少于票面金额的50%交存保证金并以所存保证金提供质押担保,公司提供12,000万元(敞口)连带责任保证;向天津滨海农村商业银行股份有限公司(以下简称“滨海农商行”)申请融资5,000万元,期限12个月,该业务为国内信用证,开证金额10,000万元,泰达能源以不少于开证金额的50%交存保证金并以所存保证金提供质押担保,公司提供5,000万元(敞口)连带责任保证。",2025-06-17
6,code.000989,九芝堂,股份质押,"公司股东李振国将持有的本公司股份2675万股,872万股共计3547万股分2笔质押给黑龙江辰能工大创业投资有限公司,质押起始日2025-6-13至双方办理解除质押手续止并于2025年06月13日办理质押登记手续。",2025-06-17
7,code.001268,联合精密,对外担保,"近期,公司与中国银行股份有限公司顺德分行(以下简称“中行顺德分行”)签订了《最高额保证合同补充协议》,为全资子公司广东扬山精密制造有限公司(以下简称“广东制造”)向中行顺德分行申请综合授信额度人民币24,800万元提供连带责任保证担保,授信业务最高担保金额由原有的人民币4,520万元提高至人民币24,800万元,即本次新增担保金额20,280万元。",2025-06-17
8,code.002008,大族激光,股份质押,"公司股东大族控股集团有限公司将持有的本公司股份504万股质押给恒丰银行股份有限公司深圳分行,质押起始日期2025/06/17,到期日期2026/06/30并于2025年06月17日办理质押登记手续。",2025-06-17
9,code.002065,东华软件,对外担保,"神州新桥拟向交通银行股份有限公司北京分行申请综合授信额度25,000万元,授信期限为自合同订立日起一年,单笔业务期限最长不超过1年,神州新桥在使用授信额度时由公司提供20,000万连带责任保证。业务品种包括:一般短期流动资金贷款;电子银行承兑汇票;国内即期、远期国内信用证;非融资性担保。选快易付买方保理具体业务品种以银行签订合同为准。",2025-06-17
10,code.002065,东华软件,对外担保,"神州新桥拟向北京银行股份有限公司中关村分行申请综合授信额度15,000万元,额度有效期(提款期)为自合同订立日起1年,单笔业务期限最长不超过1年,神州新桥在使用授信额度时由公司提供连带责任保证担保。",2025-06-17
11,code.002065,东华软件,对外担保,"合创科技拟向北京银行股份有限公司中关村分行申请综合授信额度10,000万元,额度有效期(提款期)为自合同订立日起1年,单笔业务期限最长不超过1年,合创科技在使用授信额度时由公司提供连带责任保证。",2025-06-17
12,code.002135,东南网架,对外担保,"浙江东南网架股份有限公司(以下简称“公司”)因全资子公司天津东南钢结构有限公司(以下简称“天津东南”)生产经营发展需要,近日与中国民生银行股份有限公司天津分行(以下简称“民生银行天津分行”)签署了《最高额保证合同》,同意为全资子公司天津东南与债权人民生银行天津分行办理各类融资业务所发生的债权债务提供保证担保,本次保证担保的最高债权本金额为人民币10,000万元整。",2025-06-17
13,code.002165,红宝丽,股份质押,"公司股东江苏宝源投资管理有限公司将持有的本公司股份606.0607万股质押给南京银行股份有限公司高淳支行,质押起始日2025/06/13至质押到期日2026/06/15并于2025年06月13日办理质押登记手续。",2025-06-17
14,code.002208,合肥城建,对外担保,"公司控股孙公司合肥工投高新科创投资发展有限公司(以下简称“工投高新”,公司全资子公司合肥工投工业科技发展有限公司持有其80%股权,合肥高新控股集团有限公司持有其20%股权)与中国民生银行股份有限公司合肥分行签订了4亿元项目借款合同,公司以80%的比例为上述贷款提供连带责任保证担保,即担保金额最高不超过人民币32,000万元;工投高新参股股东合肥高新控股集团有限公司以20%的比例为上述贷款剩余部分提供连带责任保证担保,即担保金额最高不超过人民币8,000万元。本次担保事项无须提交股东大会审议。",2025-06-17
15,code.002266,浙富控股,股份质押,"公司股东桐庐源桐实业有限公司将持有的本公司股份12570万股质押给财通证券股份有限公司,质押起始日2025/06/13至股份解除质押之日止并于2025年06月13日办理质押登记手续。",2025-06-17
16,code.002326,永太科技,对外担保,"为满足子公司经营需求,本次公司为全资子公司内蒙古永太化学有限公司(以下简称“内蒙古永太”)本金5,000万元的授信提供担保。",2025-06-17
17,code.002343,慈文传媒,资产重组,"本次司法拍卖标的为慈文传媒股份有限公司(以下简称“公司”)持股5%以上股东马中骏先生所持公司的8,524,167股股份,占其所持公司股份总数的20.98%,占公司总股本的1.79%。本次拍卖已于2025年1月6日10时至2025年1月7日10时止按期进行。福建省福州市中级人民法院(以下简称“福州中院”)于2025年3月14日10时至2025年3月15日10时止(延时的除外)在淘宝网司法拍卖网络平台(https://sf.taobao.com)上,对公司持股5%以上股东马中骏先生所持公司的8,524,167股股份公开进行了第二次网络司法拍卖。慈文传媒股份有限公司(以下简称“公司”)近日通过查询中国证券登记结算有限责任公司深圳分公司系统获悉,公司持股5%以上股东马中骏先生被第二次司法拍卖的8,524,167股股份中的1,000,000股股份(占公司总股本的0.21%)已完成过户;至此,上述8,524,167股股份已全部完成过户。",2025-06-17
18,code.002532,天山铝业,对外担保,"根据公司业务的发展和生产经营的需要,天山铝业集团股份有限公司(以下简称“天山铝业”“公司”或“本公司”)为招商银行股份有限公司石河子分行(以下简称“招商银行石河子分行”)对本公司全资子公司新疆生产建设兵团第八师天山铝业有限公司(以下简称“天铝有限”)享有的2.5亿元人民币主债权提供最高额保证担保;为上海农村商业银行股份有限公司上海长三角一体化示范区分行(以下简称“上海农商行长三角一体化示范区分行”)对本公司全资孙公司上海辛然实业有限公司(以下简称“上海辛然”)享有的1.755亿元人民币主债权提供最高额保证担保;为交通银行股份有限公司百色分行(以下简称“交通银行百色分行”)对本公司全资孙公司靖西天桂铝业有限公司(以下简称“靖西天桂”)享有的3亿元人民币主债权提供最高额保证担保、为华夏银行股份有限公司南宁双拥路支行(以下简称“华夏银行南宁双拥路支行”)对靖西天桂享有的2亿元人民币主债权提供最高额保证担保、为招商银行股份有限公司南宁分行(以下简称“招商银行南宁分行”)对靖西天桂享有的1亿元人民币主债权提供最高额保证担保。",2025-06-17
19,code.002599,盛通股份,对外担保,"近日,宁波银行股份有限公司北京分行批复北京盛通包装印刷有限公司(以下简称“北京包装”)综合授信额度2000万元,公司为上述事项提供连带责任保证担保。",2025-06-17
20,code.002742,*ST三圣,资产重组,"重庆三圣实业股份有限公司通过互联网公开信息获悉重庆市自由贸易试验区人民法院将于2025年5月12日10时至2025年7月13日10时止(竞价周期与延时除外)在淘宝网司法拍卖网络平台上(网址:https://sf.taobao.com/023/46,户名:重庆自由贸易试验区人民法院)公开变卖公司控股股东潘先文先生持有的公司股票3,220万股。",2025-06-17
21,code.002840,华统股份,股份质押,"公司股东华统集团有限公司将持有的本公司股份1000万股质押给中国光大银行股份有限公司金华义乌支行,质押起始日2025/06/13至质权人解除质押为止并于2025年06月13日办理质押登记手续。",2025-06-17
22,code.002855,捷荣技术,资产重组,"东莞捷荣技术股份有限公司与重庆市渝北区人民政府经友好协商,拟签订《投资协议》,通过设立公司全资子公司并由该全资子公司通过招拍挂程序获得相关土地使用权的形式建设“捷荣手持终端科技产业园”项目,项目计划总投资不低于16亿元人民币。2017年12月19日,公司全资子公司重庆捷荣汇盈制造精密有限公司在重庆取得国有建设用地使用权(重庆临空前沿科技城N3-15/03、N3-16-1/02、N3-17/04号土地使用权),基于公司目前产业发展的规划调整,公司计划调整投资规划。公司拟与重庆市渝北区人民政府签署《解除协议》,退还部分土地使用权,并在《解除协议》签署的基础上,与重庆战新科技产业集团有限公司重新签署《捷荣智能终端科技产业园项目投资协议》。",2025-06-17
23,code.002861,瀛通通讯,股份质押,"公司股东黄晖将持有的本公司股份850万股质押给深圳担保集团有限公司,质押起始日2025/06/13至质权人办理解除质押登记之日并于2025年06月13日办理质押登记手续。",2025-06-17
24,code.002990,盛视科技,对外担保,"近日,盛视科技股份有限公司(以下简称“公司”)与宁波银行股份有限公司深圳分行(以下简称“宁波银行深圳分行”)在深圳市签署了《最高额保证合同》,因开具履约保函、承兑汇票等需要,公司为宁波银行深圳分行与全资子公司海南智能人技术有限公司(以下简称“海南智能人”)签订的授信业务合同形成的债权提供最高本金限额为等值人民币2,000万元的连带责任保证担保。",2025-06-17
